Código,Nombre,Unidad,Familia,Subfamilia,Especialista,Iva,Activo,Servicio
M422,SOPORTE MUELLE TRASERO UNIVERSAL ,PIEZA,MOTOS,,NO,NO,NO,NO
M423,ABRAZADERA DE PICKUP A CHASIS UNIVERSAL,PIEZA,MOTOS,,NO,NO,NO,NO
M424,BISAGRA PARA BATEA UNIVERSAL,PIEZA,MOTOS,,NO,NO,NO,NO
M426,CABINA,PIEZA,MOTOS,,NO,NO,NO,NO
M427,FLECHA CARDAN 250,PIEZA,MOTOS,,NO,NO,NO,NO
M428,FLECHA CARDAN 200,PIEZA,MOTOS,,NO,NO,NO,NO
M425,PARRILLA UNIVERSAL,PIEZA,MOTOS,,NO,NO,NO,NO
M504,TOLDO,PIEZA,MOTOS,,NO,NO,NO,NO
M429,RADIADOR 200,PIEZA,MOTOS,,NO,NO,NO,NO
M430,REVERSAS/ MARCHA 200,PIEZA,MOTOS,,NO,NO,NO,NO
M431,ESPEJO SIN CABINA 200,PIEZA,MOTOS,,NO,NO,NO,NO
M432,MOTOR LIMPIA PARA BRISAS UNIVERSAL,PIEZA,MOTOS,,NO,NO,NO,NO
M433,ASIENTOS 250,PIEZA,MOTOS,,NO,NO,NO,NO
M435,CARBURADOR 250,PIEZA,MOTOS,,NO,NO,NO,NO
M436,CARBURADOR 200,PIEZA,MOTOS,,NO,NO,NO,NO
M437,CONJUNTO DE CUBIERTA 250,PIEZA,MOTOS,,NO,NO,NO,NO
M438,JUEGO FARO CABINA,PIEZA,MOTOS,,NO,NO,NO,NO
M439,SOPORTE BARRA ESTABILIZADORA 250,PIEZA,MOTOS,,NO,NO,NO,NO
M440,PEDAL FRENO TRASERO 250,PIEZA,MOTOS,,NO,NO,NO,NO
M441,PEDAL FRENO TRASERO 200,PIEZA,MOTOS,,NO,NO,NO,NO
M442,TANQUE DE GASOLINA  250,PIEZA,MOTOS,,NO,NO,NO,NO
M445,TABLERO DE INSTRUMENTOS 200,PIEZA,MOTOS,,NO,NO,NO,NO
M446,CUBIERTA DECORATIVA TABLERO UNIVERSAL,PIEZA,MOTOS,,NO,NO,NO,NO
M447,PAR DE CUBIERTA 250,PIEZA,MOTOS,,NO,NO,NO,NO
M448,PAR DE CUBIERTA 200,PIEZA,MOTOS,,NO,NO,NO,NO
M451,BASE PARA BATERIA,PIEZA,MOTOS,,NO,NO,NO,NO
M452,PARABRISAS SIN CABINA,PIEZA,MOTOS,,NO,NO,NO,NO
M453,MOLDURA DE TANQUE,PIEZA,MOTOS,,NO,NO,NO,NO
M454,RESORTE PROTECTOR MANGUERA,PIEZA,MOTOS,,NO,NO,NO,NO
M455,SOPORTE MANGUERA ,PIEZA,MOTOS,,NO,NO,NO,NO
M456,CUBIERTA DECORATIVA SUSPENSIÓN DELANTERA,PIEZA,MOTOS,,NO,NO,NO,NO
M457,CDIS,PIEZA,MOTOS,,NO,NO,NO,NO
M458,SALPICADERA DELANTERA CABINA,PIEZA,MOTOS,,NO,NO,NO,NO
M459,PORTABALATAS 250,PIEZA,MOTOS,,NO,NO,NO,NO
M460,JUEGO DE CALCOMANIAS,PIEZA,MOTOS,,NO,NO,NO,NO
M462,MAZA MOTOCARRO UNIVERSAL,PIEZA,MOTOS,,NO,NO,NO,NO
M463,CONJUNTO DE EMBRAGUE,PIEZA,MOTOS,,NO,NO,NO,NO
M464,ARNES SISTEMA ELECTRICO,PIEZA,MOTOS,,NO,NO,NO,NO
M465,SENSORES PAR,PIEZA,MOTOS,,NO,NO,NO,NO
M466,CONJUNTO BASE DE MOTOR,PIEZA,MOTOS,,NO,NO,NO,NO
M467,ANTENA UNIVERSAL,PIEZA,MOTOS,,NO,NO,NO,NO
M468,PLUMAS LIMPIADORAS,PIEZA,MOTOS,,NO,NO,NO,NO
M469,LLAVE DE CRUZ UNIVERSAL,PIEZA,MOTOS,,NO,NO,NO,NO
M470,PALANCA FRENO DE MANO UNIVERSAL,PIEZA,MOTOS,,NO,NO,NO,NO
M471,CHICOTE FRENO DE MANO ,PIEZA,MOTOS,,NO,NO,NO,NO
M472,TABLERO VELOCIMETRO,PIEZA,MOTOS,,NO,NO,NO,NO
M473,TAPA DEPOSITO ANTICONGELANTE,PIEZA,MOTOS,,NO,NO,NO,NO
M474,CUBIERTAS ANTICONGELANTE,PIEZA,MOTOS,,NO,NO,NO,NO
M475,KIT DE HERRAJE,PIEZA,MOTOS,,NO,NO,NO,NO
M476,KIT PALANCA DE VELOCIDADES,PIEZA,MOTOS,,NO,NO,NO,NO
M477,EXTENSIÓN ELECTRICA PARA CABINA,PIEZA,MOTOS,,NO,NO,NO,NO
M478,PALANCAS DE CRANK,PIEZA,MOTOS,,NO,NO,NO,NO
M479,ESTEREO,PIEZA,MOTOS,,NO,NO,NO,NO
M481,VISTAS LATERALES,PIEZA,MOTOS,,NO,NO,NO,NO
M482,BOCINA REVERSA,PIEZA,MOTOS,,NO,NO,NO,NO
M483,COMANDO DERECHO,PIEZA,MOTOS,,NO,NO,NO,NO
M484,COMANDO IZQUIERDO,PIEZA,MOTOS,,NO,NO,NO,NO
M485,DEFENSA LATERAL,PIEZA,MOTOS,,NO,NO,NO,NO
M486,PAQUETE DE BUJES Y GOMAS,PIEZA,MOTOS,,NO,NO,NO,NO
M487,MANIJAS CLUTCH,PIEZA,MOTOS,,NO,NO,NO,NO
M488,MANIJAS FRENO TRASERO,PIEZA,MOTOS,,NO,NO,NO,NO
M489,AMORTIGUADOR,PAR,MOTOS,,NO,NO,NO,NO
M490,TABLERO DE INSTRUMENTO BICEL CROMADO,PIEZA,MOTOS,,NO,NO,NO,NO
M491,GATO HIDRAULICO UNIVERSAL,PIEZA,MOTOS,,NO,NO,NO,NO
M492,LATERALES TABLERO,PIEZA,MOTOS,,NO,NO,NO,NO
M493,CUBIERTA DE FARO,PIEZA,MOTOS,,NO,NO,NO,NO
M494,SOPORTE DE FARO DELANTERO,PIEZA,MOTOS,,NO,NO,NO,NO
M495,JUEGO DE TAPAS LATERALES,PIEZA,MOTOS,,NO,NO,NO,NO
M496,RESPALDOS TRASEROS,PIEZA,MOTOS,,NO,NO,NO,NO
M497,BARRAS ESTABILIZADORAS,PIEZA,MOTOS,,NO,NO,NO,NO
M498,SALPICADERA DELANTERA,PIEZA,MOTOS,,NO,NO,NO,NO
M499,JUEGO DE SALPICADERA TRASERA,PIEZA,MOTOS,,NO,NO,NO,NO
M500,KIT SOPORTE ESCAPE,PIEZA,MOTOS,,NO,NO,NO,NO
M501,CUBIERTA DECORATIVA,PAR,MOTOS,,NO,NO,NO,NO
M502,FARO,PIEZA,MOTOS,,NO,NO,NO,NO
M506,PARABRISAS CABINA,PIEZA,MOTOS,,NO,NO,NO,NO
M507,TABLERO CABINA,PIEZA,MOTOS,,NO,NO,NO,NO
